"Year","Nat.Elec.Rate","Rural.Elec.Rate","Urban.Elec.Rate","country"
" 2003","97.41"," 96.39","100","Macedonia Former Yugoslavia Rep"
" 2004","97.93"," 96.91","100","Macedonia Former Yugoslavia Rep"
" 2005","98.46"," 97.44","100","Macedonia Former Yugoslavia Rep"
" 2006","99","98","98","Macedonia Former Yugoslavia Rep"
" 2007","99.44"," 98.58","100","Macedonia Former Yugoslavia Rep"
" 2008","99.77"," 99.13","100","Macedonia Former Yugoslavia Rep"
" 2009","99.94"," 99.57","100","Macedonia Former Yugoslavia Rep"
" 2010","99.99"," 99.85","100","Macedonia Former Yugoslavia Rep"
" 2011"," 100","99.97","100","Macedonia Former Yugoslavia Rep"
" 2012","100","100","100","Macedonia Former Yugoslavia Rep"
" 2013","100","100","100","Macedonia Former Yugoslavia Rep"
" 2014","100","100","100","Macedonia Former Yugoslavia Rep"
" 1990","10.55","1.35"," 0","Madagascar"
" 1991","10.87","1.78"," 0","Madagascar"
" 1992","9.2"," 1.9","46.9","Madagascar"
" 1993","11.51","2.64"," 37.79","Madagascar"
" 1994","11.83","3.06","37.4","Madagascar"
" 1995","12.13","3.47"," 37.06","Madagascar"
" 1996","12.43","3.87"," 36.72","Madagascar"
" 1997"," 10.9"," 2.1","38.1","Madagascar"
" 1998","12.97","4.61"," 36.07","Madagascar"
" 1999","13.22","4.95"," 35.74","Madagascar"
" 2000","13.45","5.28"," 35.42","Madagascar"
" 2001"," 14.8"," 5.9"," 42.08","Madagascar"
" 2002","13.89"," 5.9"," 34.77","Madagascar"
" 2003"," 14.1","6.21"," 34.43","Madagascar"
" 2004"," 20.3","10.8","52.7","Madagascar"
" 2005","14.52","6.87"," 33.43","Madagascar"
" 2006","14.75","7.22"," 32.79","Madagascar"
" 2007","14.98"," 7.6"," 32.17","Madagascar"
" 2008","15.22","8","31.56","Madagascar"
" 2009"," 17.4"," 8.2","68.6","Madagascar"
" 2010","15.74","8.85"," 30.42","Madagascar"
" 2011"," 14.3"," 9.4","61.5","Madagascar"
" 2012"," 16.28"," 9.75"," 29.4","Madagascar"
" 2013","12.9","8.1"," 60.7","Madagascar"
" 2014"," 16.82","10.67","28.52","Madagascar"
" 1990","1.9","0.28"," 0","Malawi"
" 1991"," 2.28","0.47"," 0","Malawi"
" 1992","3.2"," 1.1","19.8","Malawi"
" 1993"," 3.05","0.85"," 18.38","Malawi"
" 1994"," 3.43","1.03"," 19.61","Malawi"
" 1995","3.8"," 1.2"," 20.77","Malawi"
" 1996"," 4.15","1.36"," 21.87","Malawi"
" 1997","4.5"," 1.5"," 22.92","Malawi"
" 1998"," 4.83","1.62","23.9","Malawi"
" 1999"," 5.14","1.72"," 25.22","Malawi"
" 2000","4.8","1"," 28.7","Malawi"
" 2001"," 5.72","1.88"," 27.95","Malawi"
" 2002"," 5.99","1.96"," 29.26","Malawi"
" 2003","6.2","2.27"," 37.15","Malawi"
" 2004","6.9"," 2.2","30.2","Malawi"
" 2005"," 6.82"," 2.2"," 32.87","Malawi"
" 2006"," 7.11","2.32"," 33.94","Malawi"
" 2007","7.4","2.46"," 34.93","Malawi"
" 2008"," 7.71","2.62"," 35.86","Malawi"
" 2009"," 8.03"," 2.8"," 36.72","Malawi"
" 2010","8.7"," 3.5","34.7","Malawi"
" 2011","7.6"," 2.9","32.6","Malawi"
" 2012"," 7.4","2.3","37.1","Malawi"
" 2013","9"," 3.4","36.6","Malawi"
" 2014","11.9","4.7","46.1","Malawi"
" 1990","93.45"," 88.75"," 0","Malaysia"
" 1991"," 93.8"," 89.28"," 0","Malaysia"
" 1992","94.16","89.8"," 0","Malaysia"
" 1993","94.51"," 90.33"," 0","Malaysia"
" 1994","94.86"," 90.84"," 0","Malaysia"
" 1995"," 95.2"," 91.35"," 0","Malaysia"
" 1996","95.53"," 91.84"," 0","Malaysia"
" 1997","95.84"," 92.32"," 0","Malaysia"
" 1998","96.14"," 92.77"," 0","Malaysia"
" 1999","96.42"," 93.21"," 0","Malaysia"
" 2000","96.69"," 93.63"," 0","Malaysia"
" 2001","96.94"," 94.04"," 0","Malaysia"
" 2002","97.19"," 94.45"," 0","Malaysia"
" 2003","97.43"," 94.85"," 0","Malaysia"
" 2004","97.68"," 95.27"," 0","Malaysia"
" 2005","97.93","95.7"," 0","Malaysia"
" 2006","98.19"," 96.15"," 0","Malaysia"
" 2007","98.46"," 96.62"," 0","Malaysia"
" 2008","98.74"," 97.12"," 0","Malaysia"
" 2009"," 99.3"," 98"," 99.9","Malaysia"
" 2010","99.32"," 98.17"," 99.78","Malaysia"
" 2011","99.59"," 98.71"," 99.94","Malaysia"
" 2012","99.8"," 99.3","99.9","Malaysia"
" 2013"," 99.94","99.64"," 100","Malaysia"
" 2014","100","100","100","Malaysia"
" 1990"," 72.7"," 96.53"," 0","Maldives"
" 1991","73.99"," 96.73"," 0","Maldives"
" 1992","75.28"," 96.92"," 0","Maldives"
" 1993","76.57"," 97.12"," 0","Maldives"
" 1994","77.85","97.3"," 0","Maldives"
" 1995","79.13"," 97.48"," 0","Maldives"
" 1996","80.39"," 97.64"," 0","Maldives"
" 1997","81.64"," 97.79"," 0","Maldives"
" 1998","82.87"," 97.92"," 0","Maldives"
" 1999","84.09"," 98.01"," 0","Maldives"
" 2000"," 83.8"," 98.11"," 0","Maldives"
" 2001","86.48"," 98.19"," 57.61","Maldives"
" 2002","87.66"," 98.27"," 62.96","Maldives"
" 2003","88.84"," 98.35"," 67.92","Maldives"
" 2004","90.02"," 98.44"," 72.52","Maldives"
" 2005","91.21"," 98.55","76.8","Maldives"
" 2006"," 92.4"," 98.67"," 80.77","Maldives"
" 2007"," 93.6"," 98.81"," 84.46","Maldives"
" 2008","94.82"," 98.98","87.9","Maldives"
" 2009"," 99.9","99.8","99.9","Maldives"
" 2010","97.27"," 99.36"," 94.14","Maldives"
" 2011","98.38"," 99.56","96.7","Maldives"
" 2012"," 99.25","99.75","98.57","Maldives"
" 2013"," 99.76"," 99.9","99.58","Maldives"
" 2014","100","100","100","Maldives"
" 1990"," 0"," 0"," 0","Mali"
" 1991"," 0.29","0"," 0","Mali"
" 1992"," 0.84","0"," 0","Mali"
" 1993"," 1.65","0"," 0","Mali"
" 1994"," 2.93","0"," 0","Mali"
" 1995","4.2","0.02","0","Mali"
" 1996","6.2"," 0.4","21.5","Mali"
" 1997"," 6.72"," 0.3"," 24.58","Mali"
" 1998"," 7.95","0.61"," 27.84","Mali"
" 1999"," 9.17","1.27"," 29.82","Mali"
" 2000","10.37","1.92","31.7","Mali"
" 2001"," 10.8"," 2.2"," 37","Mali"
" 2002","12.74","3.19"," 35.21","Mali"
" 2003","13.92","3.83"," 36.85","Mali"
" 2004","15.09","4.47"," 38.41","Mali"
" 2005","16.28","5.13"," 39.91","Mali"
" 2006"," 16.6"," 3.2","47.4","Mali"
" 2007","18.67"," 6.5"," 42.71","Mali"
" 2008","19.89","7.23"," 44.03","Mali"
" 2009","21.11","7.97","45.3","Mali"
" 2010","22.34","8.73"," 46.54","Mali"
" 2011","23.57"," 9.5"," 47.76","Mali"
" 2012","25.6"," 11.9"," 76","Mali"
" 2013"," 26.05","11.05","50.16","Mali"
" 2014"," 27.29","11.83","51.33","Mali"
" 1990"," 100"," 100"," 100","Malta"
" 1991"," 100"," 100"," 100","Malta"
" 1992"," 100"," 100"," 100","Malta"
" 1993"," 100"," 100"," 100","Malta"
" 1994"," 100"," 100"," 100","Malta"
" 1995"," 100"," 100"," 100","Malta"
" 1996"," 100"," 100"," 100","Malta"
" 1997"," 100"," 100"," 100","Malta"
" 1998"," 100"," 100"," 100","Malta"
" 1999"," 100"," 100"," 100","Malta"
" 2000"," 100"," 100"," 100","Malta"
" 2001"," 100"," 100"," 100","Malta"
" 2002"," 100"," 100"," 100","Malta"
" 2003"," 100"," 100"," 100","Malta"
" 2004"," 100"," 100"," 100","Malta"
" 2005"," 100"," 100"," 100","Malta"
" 2006"," 100"," 100"," 100","Malta"
" 2007"," 100"," 100"," 100","Malta"
" 2008"," 100"," 100"," 100","Malta"
" 2009"," 100"," 100"," 100","Malta"
" 2010"," 100"," 100"," 100","Malta"
" 2011"," 100"," 100"," 100","Malta"
" 2012","100","100","100","Malta"
" 2013","100","100","100","Malta"
" 2014","100","100","100","Malta"
" 1990","51.97","0","0","Marshall Islands"
" 1991","53.62","0.06"," 0","Marshall Islands"
" 1992","55.26","0.42"," 0","Marshall Islands"
" 1993","56.91","1.59"," 0","Marshall Islands"
" 1994","58.54","3.19"," 0","Marshall Islands"
" 1995","60.17","7.09"," 0","Marshall Islands"
" 1996","61.79"," 10.98"," 0","Marshall Islands"
" 1997"," 63.4"," 14.86"," 0","Marshall Islands"
" 1998","64.99"," 18.71"," 0","Marshall Islands"
" 1999","68.52"," 28.47"," 88.91","Marshall Islands"
" 2000","68.11"," 26.36"," 87.44","Marshall Islands"
" 2001","69.66"," 30.16"," 87.67","Marshall Islands"
" 2002"," 71.2"," 33.97"," 87.93","Marshall Islands"
" 2003","72.73"," 37.77"," 88.22","Marshall Islands"
" 2004","74.27"," 41.58"," 88.54","Marshall Islands"
" 2005"," 75.8"," 45.41"," 88.89","Marshall Islands"
" 2006","77.35"," 49.25"," 89.28","Marshall Islands"
" 2007"," 72.3","32.1","91.6","Marshall Islands"
" 2008","80.48"," 57.01"," 90.17","Marshall Islands"
" 2009","82.06"," 60.93"," 90.66","Marshall Islands"
" 2010","83.64"," 64.85"," 91.19","Marshall Islands"
" 2011","89.92"," 83.73","92.5","Marshall Islands"
" 2012"," 86.83","72.73","92.34","Marshall Islands"
" 2013"," 88.42","76.68","92.95","Marshall Islands"
" 2014"," 90.02","80.63"," 93.6","Marshall Islands"
" 1990","0"," 0"," 0","Martinique"
" 1991","0"," 0"," 0","Martinique"
" 1992","0"," 0"," 0","Martinique"
" 1993","0"," 0"," 0","Martinique"
" 1994","0"," 0"," 0","Martinique"
" 1995","0"," 0"," 0","Martinique"
" 1996","0"," 0"," 0","Martinique"
" 1997","0"," 0"," 0","Martinique"
" 1998","0"," 0"," 0","Martinique"
" 1999","0"," 0"," 0","Martinique"
" 2000","0"," 0"," 0","Martinique"
" 2001","0"," 0"," 0","Martinique"
" 2002","0"," 0"," 0","Martinique"
" 2003","0"," 0"," 0","Martinique"
" 2004","0"," 0"," 0","Martinique"
" 2005","0"," 0"," 0","Martinique"
" 2006","0"," 0"," 0","Martinique"
" 2007","0"," 0"," 0","Martinique"
" 2008","0"," 0"," 0","Martinique"
" 2009","0"," 0"," 0","Martinique"
" 2010","0"," 0"," 0","Martinique"
" 2011","0"," 0"," 0","Martinique"
" 2012"," 0"," 0"," 0","Martinique"
" 2013"," 0"," 0"," 0","Martinique"
" 2014"," 0"," 0"," 0","Martinique"
" 1990"," 2.18","1.58"," 0","Mauritania"
" 1991"," 3.72","1.68"," 0","Mauritania"
" 1992"," 5.26","1.79"," 0","Mauritania"
" 1993"," 6.79","1.89"," 0","Mauritania"
" 1994"," 8.33","1.98"," 0","Mauritania"
" 1995"," 9.85","2.07"," 0","Mauritania"
" 1996","11.36","2.14"," 0","Mauritania"
" 1997","12.86","2.19"," 0","Mauritania"
" 1998","14.35","2.23"," 0","Mauritania"
" 1999","15.81","2.25"," 0","Mauritania"
" 2000","17.26","2.24"," 0","Mauritania"
" 2001"," 22.2"," 2.5","49.7","Mauritania"
" 2002","20.13","2.22"," 37.46","Mauritania"
" 2003","21.56"," 2.2"," 39.71","Mauritania"
" 2004","22.99"," 2.2","41.9","Mauritania"
" 2005"," 18.2"," 1.6","41.6","Mauritania"
" 2006","25.87","2.23"," 46.11","Mauritania"
" 2007","27.32","2.29"," 48.14","Mauritania"
" 2008","30"," 2.36"," 52.34","Mauritania"
" 2009","30.26","2.46","52.1","Mauritania"
" 2010","31.74","2.56"," 54.03","Mauritania"
" 2011","33.22","2.68"," 55.93","Mauritania"
" 2012"," 34.71"," 2.81","57.81","Mauritania"
" 2013","36.2"," 2.94","59.66","Mauritania"
" 2014","38.8","2.3"," 76.9","Mauritania"
" 1990","98.64","100","0","Mauritius"
" 1991","98.72","100","0","Mauritius"
" 1992"," 98.8","100","0","Mauritius"
" 1993","98.88","100","0","Mauritius"
" 1994","98.96","100","0","Mauritius"
" 1995","99.02","100","0","Mauritius"
" 1996","99.08","100","0","Mauritius"
" 1997","99.12","100","0","Mauritius"
" 1998","99.15"," 99.99"," 0","Mauritius"
" 1999","99.15"," 99.92"," 0","Mauritius"
" 2000","99","99.64","100","Mauritius"
" 2001","99.13"," 98.92"," 99.41","Mauritius"
" 2002"," 99.4","98.9","100","Mauritius"
" 2003","99.07","96.2","100","Mauritius"
" 2004","99.04"," 94.53","100","Mauritius"
" 2005","99.02"," 92.88","100","Mauritius"
" 2006","99.01"," 91.24","100","Mauritius"
" 2007","99","89.63","100","Mauritius"
" 2008","99.01"," 88.05","100","Mauritius"
" 2009","99.02"," 86.48","100","Mauritius"
" 2010","99.04"," 84.93","100","Mauritius"
" 2011"," 99.4"," 83.38","100","Mauritius"
" 2012","99.1","81.85"," 100","Mauritius"
" 2013"," 99.13","80.32"," 100","Mauritius"
" 2014"," 99.17","78.79"," 100","Mauritius"
" 1990","0"," 0"," 0","Mayotte"
" 1991","0"," 0"," 0","Mayotte"
" 1992","0"," 0"," 0","Mayotte"
" 1993","0"," 0"," 0","Mayotte"
" 1994","0"," 0"," 0","Mayotte"
" 1995","0"," 0"," 0","Mayotte"
" 1996","0"," 0"," 0","Mayotte"
" 1997","0"," 0"," 0","Mayotte"
" 1998","0"," 0"," 0","Mayotte"
" 1999","0"," 0"," 0","Mayotte"
" 2000","0"," 0"," 0","Mayotte"
" 2001","0"," 0"," 0","Mayotte"
" 2002","0"," 0"," 0","Mayotte"
" 2003","0"," 0"," 0","Mayotte"
" 2004","0"," 0"," 0","Mayotte"
" 2005","0"," 0"," 0","Mayotte"
" 2006","0"," 0"," 0","Mayotte"
" 2007","0"," 0"," 0","Mayotte"
" 2008","0"," 0"," 0","Mayotte"
" 2009","0"," 0"," 0","Mayotte"
" 2010","0"," 0"," 0","Mayotte"
" 2011","0"," 0"," 0","Mayotte"
" 2012"," 0"," 0"," 0","Mayotte"
" 2013"," 0"," 0"," 0","Mayotte"
" 2014"," 0"," 0"," 0","Mayotte"
" 1990","94.04"," 79.87"," 0","Mexico"
" 1991","94.36"," 80.83"," 0","Mexico"
" 1992","93.15"," 76.05"," 98.58","Mexico"
" 1993","95.01"," 82.74"," 99.64","Mexico"
" 1994","95.24"," 82.36"," 99.26","Mexico"
" 1995","95.64"," 84.63"," 99.64","Mexico"
" 1996","96.09"," 86.35"," 99.08","Mexico"
" 1997","96.23"," 86.47"," 99.67","Mexico"
" 1998","96.09"," 86.37"," 99.18","Mexico"
" 1999","96.75"," 88.23"," 99.67","Mexico"
" 2000","98.01"," 93.06"," 99.43","Mexico"
" 2001","97.21"," 89.93"," 99.63","Mexico"
" 2002"," 97.9"," 92.46"," 99.53","Mexico"
" 2003","97.64"," 91.61"," 99.58","Mexico"
" 2004"," 98.6"," 95.87"," 99.39","Mexico"
" 2005","98.93"," 96.56"," 99.61","Mexico"
" 2006","99.11"," 97.04"," 99.71","Mexico"
" 2007","98.55"," 95.11"," 99.58","Mexico"
" 2008","98.91"," 95.94"," 99.73","Mexico"
" 2009","99.06"," 96.99"," 99.66","Mexico"
" 2010","99.24"," 97.52","99.7","Mexico"
" 2011","99.57"," 98.82"," 99.78","Mexico"
" 2012"," 99.11","97.19","99.65","Mexico"
" 2013"," 99.92","99.85","99.94","Mexico"
" 2014"," 99.17","97.53","99.64","Mexico"
" 1990","27.71","0"," 0","Micronesia Federated States"
" 1991","29.61","0"," 0","Micronesia Federated States"
" 1992"," 31.5","0"," 0","Micronesia Federated States"
" 1993","33.39","0"," 0","Micronesia Federated States"
" 1994","35.28","0"," 0","Micronesia Federated States"
" 1995","37.15","0.05","0","Micronesia Federated States"
" 1996","39.02","0.35","0","Micronesia Federated States"
" 1997","40.87","1.42","0","Micronesia Federated States"
" 1998","42.71","2.46","0","Micronesia Federated States"
" 1999","44.52","7.02","0","Micronesia Federated States"
" 2000","46","10","70","Micronesia Federated States"
" 2001","48.12"," 16.09","100","Micronesia Federated States"
" 2002"," 49.9"," 20.62","100","Micronesia Federated States"
" 2003","51.69"," 25.15","100","Micronesia Federated States"
" 2004","53.47"," 29.68","100","Micronesia Federated States"
" 2005","55.25"," 34.23","100","Micronesia Federated States"
" 2006","57.05","38.8","100","Micronesia Federated States"
" 2007","58.86","43.4","100","Micronesia Federated States"
" 2008","60.67"," 48.02","100","Micronesia Federated States"
" 2009"," 62.5"," 52.65"," 96.79","Micronesia Federated States"
" 2010","64.53"," 58.59"," 84.59","Micronesia Federated States"
" 2011","66.17"," 61.97","80.8","Micronesia Federated States"
" 2012"," 68.01","66.64","72.79","Micronesia Federated States"
" 2013"," 69.85","71.31","64.78","Micronesia Federated States"
" 2014"," 71.69","75.98","56.82","Micronesia Federated States"
" 1990","96.12"," 89.72","100","Moldova Rep"
" 1991","96.38"," 90.33","100","Moldova Rep"
" 1992","96.63"," 90.94","100","Moldova Rep"
" 1993","96.88"," 91.55","100","Moldova Rep"
" 1994","97.13"," 92.16","100","Moldova Rep"
" 1995","97.37"," 92.75","100","Moldova Rep"
" 1996"," 97.6"," 93.33","100","Moldova Rep"
" 1997","97.81","93.9","100","Moldova Rep"
" 1998","98","94.44","100","Moldova Rep"
" 1999","98.18"," 94.97","100","Moldova Rep"
" 2000","98.35"," 95.48","100","Moldova Rep"
" 2001","98.51"," 95.97","100","Moldova Rep"
" 2002","99","96.47","100","Moldova Rep"
" 2003"," 98.8"," 96.96","100","Moldova Rep"
" 2004"," 99.1"," 97.47","100","Moldova Rep"
" 2005"," 98.6"," 98"," 99.4","Moldova Rep"
" 2006","99.26"," 98.54","100","Moldova Rep"
" 2007","99.43"," 99.06"," 99.88","Moldova Rep"
" 2008"," 99.6"," 99.51"," 99.72","Moldova Rep"
" 2009","99.77"," 99.81"," 99.72","Moldova Rep"
" 2010"," 99.9"," 99.95"," 99.83","Moldova Rep"
" 2011","99.97"," 99.99"," 99.94","Moldova Rep"
" 2012","100","100"," 99.99","Moldova Rep"
" 2013","100","100","100","Moldova Rep"
" 2014","100","100","100","Moldova Rep"
" 1990"," 100"," 100"," 100","Monaco"
" 1991"," 100"," 100"," 100","Monaco"
" 1992"," 100"," 100"," 100","Monaco"
" 1993"," 100"," 100"," 100","Monaco"
" 1994"," 100"," 100"," 100","Monaco"
" 1995"," 100"," 100"," 100","Monaco"
" 1996"," 100"," 100"," 100","Monaco"
" 1997"," 100"," 100"," 100","Monaco"
" 1998"," 100"," 100"," 100","Monaco"
" 1999"," 100"," 100"," 100","Monaco"
" 2000"," 100"," 100"," 100","Monaco"
" 2001"," 100"," 100"," 100","Monaco"
" 2002"," 100"," 100"," 100","Monaco"
" 2003"," 100"," 100"," 100","Monaco"
" 2004"," 100"," 100"," 100","Monaco"
" 2005"," 100"," 100"," 100","Monaco"
" 2006"," 100"," 100"," 100","Monaco"
" 2007"," 100"," 100"," 100","Monaco"
" 2008"," 100"," 100"," 100","Monaco"
" 2009"," 100"," 100"," 100","Monaco"
" 2010"," 100"," 100"," 100","Monaco"
" 2011"," 100"," 100"," 100","Monaco"
" 2012","100","100","100","Monaco"
" 2013","100","100","100","Monaco"
" 2014","100","100","100","Monaco"
" 1990","63.82","100","0","Mongolia"
" 1991","64.79"," 99.17"," 0","Mongolia"
" 1992","65.75"," 97.87"," 0","Mongolia"
" 1993","66.72"," 96.16"," 0","Mongolia"
" 1994","67.68"," 94.04"," 0","Mongolia"
" 1995","68.63"," 91.91"," 0","Mongolia"
" 1996","69.57"," 89.77"," 0","Mongolia"
" 1997","70.49"," 87.61"," 0","Mongolia"
" 1998"," 71.4"," 85.43"," 0","Mongolia"
" 1999","72.29"," 83.23"," 0","Mongolia"
" 2000"," 67.3"," 81.02"," 0","Mongolia"
" 2001","74.04"," 78.79"," 70.62","Mongolia"
" 2002","74.89"," 76.56"," 73.75","Mongolia"
" 2003"," 76.3","77.5","99.5","Mongolia"
" 2004"," 76.6"," 72.11"," 79.42","Mongolia"
" 2005"," 86.2","67.1","97.9","Mongolia"
" 2006","78.33"," 67.72"," 84.42","Mongolia"
" 2007","79.21"," 65.56"," 86.71","Mongolia"
" 2008"," 80.1"," 63.42"," 88.86","Mongolia"
" 2009","81"," 61.3"," 90.89","Mongolia"
" 2010","81.91"," 59.19"," 92.81","Mongolia"
" 2011","82.82","57.1"," 94.63","Mongolia"
" 2012"," 83.73","55.01","96.36","Mongolia"
" 2013","81.2","52","97.8","Mongolia"
" 2014"," 85.57","50.85"," 99.6","Mongolia"
" 1990"," 100"," 100"," 100","Montenegro"
" 1991"," 100"," 100"," 100","Montenegro"
" 1992"," 100"," 100"," 100","Montenegro"
" 1993"," 100"," 100"," 100","Montenegro"
" 1994"," 100"," 100"," 100","Montenegro"
" 1995"," 100"," 100"," 100","Montenegro"
" 1996"," 100"," 100"," 100","Montenegro"
" 1997"," 100"," 100"," 100","Montenegro"
" 1998"," 100"," 100"," 100","Montenegro"
" 1999"," 100"," 100"," 100","Montenegro"
" 2000"," 100"," 100"," 100","Montenegro"
" 2001"," 100"," 100"," 100","Montenegro"
" 2002"," 100"," 100"," 100","Montenegro"
" 2003"," 100"," 100"," 100","Montenegro"
" 2004"," 100"," 100"," 100","Montenegro"
" 2005"," 100"," 100"," 100","Montenegro"
" 2006"," 100"," 100"," 100","Montenegro"
" 2007"," 100"," 100"," 100","Montenegro"
" 2008"," 100"," 100"," 100","Montenegro"
" 2009"," 100"," 100"," 100","Montenegro"
" 2010"," 100"," 100"," 100","Montenegro"
" 2011"," 100"," 100"," 100","Montenegro"
" 2012","100","100","100","Montenegro"
" 2013","100","100","100","Montenegro"
" 2014","100","100","100","Montenegro"
" 1990","0"," 0"," 0","Montserrat"
" 1991","0"," 0"," 0","Montserrat"
" 1992","0"," 0"," 0","Montserrat"
" 1993","0"," 0"," 0","Montserrat"
" 1994","0"," 0"," 0","Montserrat"
" 1995","0"," 0"," 0","Montserrat"
" 1996","0"," 0"," 0","Montserrat"
" 1997","0"," 0"," 0","Montserrat"
" 1998","0"," 0"," 0","Montserrat"
" 1999","0"," 0"," 0","Montserrat"
" 2000","0"," 0"," 0","Montserrat"
" 2001","0"," 0"," 0","Montserrat"
" 2002","0"," 0"," 0","Montserrat"
" 2003","0"," 0"," 0","Montserrat"
" 2004","0"," 0"," 0","Montserrat"
" 2005","0"," 0"," 0","Montserrat"
" 2006","0"," 0"," 0","Montserrat"
" 2007","0"," 0"," 0","Montserrat"
" 2008","0"," 0"," 0","Montserrat"
" 2009","0"," 0"," 0","Montserrat"
" 2010","0"," 0"," 0","Montserrat"
" 2011","0"," 0"," 0","Montserrat"
" 2012"," 0"," 0"," 0","Montserrat"
" 2013"," 0"," 0"," 0","Montserrat"
" 2014"," 0"," 0"," 0","Montserrat"
" 1990","46.88","8.93","0","Morocco"
" 1991","48.88"," 12.08","0","Morocco"
" 1992"," 49.2","15.6","84.7","Morocco"
" 1993","52.89"," 18.38"," 86.61","Morocco"
" 1994","54.88"," 21.52"," 86.55","Morocco"
" 1995"," 56.5","24.2","90.6","Morocco"
" 1996","58.84"," 27.77"," 87.49","Morocco"
" 1997"," 60.8"," 30.88"," 88.04","Morocco"
" 1998","62.75"," 33.96"," 88.61","Morocco"
" 1999","64.68"," 37.02","89.2","Morocco"
" 2000","66.59"," 40.07","89.8","Morocco"
" 2001","68.49"," 43.11"," 90.42","Morocco"
" 2002","70.39"," 46.14"," 91.05","Morocco"
" 2003","72.28"," 49.17"," 91.71","Morocco"
" 2004"," 78.2","51.3","94.6","Morocco"
" 2005","76.07"," 55.27"," 93","Morocco"
" 2006","77.97"," 58.34"," 93.62","Morocco"
" 2007","79.89"," 61.44"," 94.29","Morocco"
" 2008","81.81"," 64.57"," 95","Morocco"
" 2009","83.75"," 67.71"," 95.76","Morocco"
" 2010","85.69"," 70.86"," 96.57","Morocco"
" 2011","87.64"," 74.03"," 97.42","Morocco"
" 2012"," 89.59","77.21"," 98.3","Morocco"
" 2013"," 91.54","80.38","99.23","Morocco"
" 2014","91.6"," 84.6"," 95.2","Morocco"
" 1990"," 0"," 0"," 0","Mozambique"
" 1991"," 0.02","0"," 0","Mozambique"
" 1992","0.1","0"," 0","Mozambique"
" 1993"," 0.37","0.01","0","Mozambique"
" 1994"," 0.66","0.04","0","Mozambique"
" 1995"," 1.74","0.12","0","Mozambique"
" 1996"," 2.81","0.29","0","Mozambique"
" 1997","6.6"," 2.1","25.8","Mozambique"
" 1998"," 4.92","0.83"," 15.05","Mozambique"
" 1999"," 5.94","1.12"," 17.81","Mozambique"
" 2000"," 6.95","1.38"," 20.53","Mozambique"
" 2001","5.7"," 0.4","20.1","Mozambique"
" 2002"," 8.94","1.89"," 25.83","Mozambique"
" 2003","8.1"," 1.1"," 25","Mozambique"
" 2004","10.92","2.41"," 30.96","Mozambique"
" 2005","11.92","2.69"," 33.45","Mozambique"
" 2006","12.92","2.98","35.9","Mozambique"
" 2007","13.93"," 3.3","38.3","Mozambique"
" 2008","14.95","3.65"," 40.66","Mozambique"
" 2009","15","3.8","43.1","Mozambique"
" 2010","17.03","4.39"," 45.22","Mozambique"
" 2011"," 20.2"," 5.4","54.5","Mozambique"
" 2012"," 19.12"," 5.17","49.57","Mozambique"
" 2013"," 20.17"," 5.57","51.67","Mozambique"
" 2014"," 21.22"," 5.97","53.73","Mozambique"
" 1990","41.32","0"," 0","Myanmar"
" 1991","41.81","0"," 0","Myanmar"
" 1992"," 42.3","0"," 0","Myanmar"
" 1993","42.78","0.04","0","Myanmar"
" 1994","43.26","0.23","0","Myanmar"
" 1995","43.74","0.89","0","Myanmar"
" 1996"," 44.2","1.66","0","Myanmar"
" 1997","44.64","4.19","0","Myanmar"
" 1998","45.07"," 6.7","0","Myanmar"
" 1999","45.49","9.19","0","Myanmar"
" 2000","45.89"," 11.67","0","Myanmar"
" 2001","46.27"," 14.13","0","Myanmar"
" 2002","47","16.59","0","Myanmar"
" 2003","47.03"," 19.05","100","Myanmar"
" 2004","47.41"," 21.52","100","Myanmar"
" 2005","47.79"," 24.01","100","Myanmar"
" 2006","48.18"," 26.51","100","Myanmar"
" 2007","48.58"," 29.04"," 94.47","Myanmar"
" 2008","48.99"," 31.59","88.9","Myanmar"
" 2009","49.41"," 34.16"," 83.55","Myanmar"
" 2010"," 48.8","34.3"," 89","Myanmar"
" 2011","50.27"," 39.34"," 73.57","Myanmar"
" 2012"," 50.71","41.94","68.94","Myanmar"
" 2013"," 51.14","44.54","64.54","Myanmar"
" 2014"," 52"," 49","85.5","Myanmar"
" 1990"," 25.2","3.67","0","Namibia"
" 1991","26.27","4.44","0","Namibia"
" 1992"," 26.4"," 4.2"," 66","Namibia"
" 1993","28.42","5.99"," 83.81","Namibia"
" 1994","29.49","6.76"," 84.29","Namibia"
" 1995","30.55","7.52"," 84.77","Namibia"
" 1996"," 31.6","8.26"," 85.24","Namibia"
" 1997","32.63","8.99","85.7","Namibia"
" 1998","33.65"," 9.7"," 86.15","Namibia"
" 1999","34.65"," 10.38"," 86.58","Namibia"
" 2000"," 36.5","13.2","73.2","Namibia"
" 2001","36.61"," 11.72","87.4","Namibia"
" 2002","37.58"," 12.37"," 87.03","Namibia"
" 2003","38.54"," 13.03"," 86.54","Namibia"
" 2004","39.51","13.7"," 86.07","Namibia"
" 2005","40.48"," 14.38"," 85.63","Namibia"
" 2006","41.46"," 15.08"," 85.22","Namibia"
" 2007"," 43.7","14.6","77.6","Namibia"
" 2008","43.44"," 16.55"," 84.47","Namibia"
" 2009","44.45"," 17.32"," 84.15","Namibia"
